id,name,city
NULL,"5402 SCAPA Nancy",NULL
NULL,"A-TO-MY",NULL
NULL,"ADOC",NULL
NULL,"ANCO",NULL
NULL,"ASCO Lugano",NULL
NULL,"ASOPE Erstein",NULL
NULL,"AV Willisau",NULL
NULL,"Aas-UMB Orientering",NULL
NULL,"Alta O-lag",NULL
NULL,"BALISE Besançon",NULL
NULL,"BC Effretikon",NULL
NULL,"Belgien Nat. Mannschaft",NULL
NULL,"Berliner TSC",NULL
NULL,"Berliner Turnerschaft",NULL
NULL,"Bike-O Bern",NULL
NULL,"Bike-O Nordwestschweiz",NULL
NULL,"Biovision Stiftung",NULL
NULL,"Bogla OK",NULL
NULL,"Brandvan OK",NULL
NULL,"Buchegg. OL/OLG Thun",NULL
NULL,"Bucheggb. OLG Biberist SO",NULL
NULL,"Bucheggberger OL",NULL
NULL,"Buchsee OL",NULL
NULL,"C.O. Aget Lugano",NULL
NULL,"C.O. Liege",NULL
NULL,"C.O. Mulhouse",NULL
NULL,"C.S. Forestale",NULL
NULL,"CA Rosé",NULL
NULL,"CA Rosé / OLG Bern",NULL
NULL,"CARE Vevey",NULL
NULL,"CDD",NULL
NULL,"CET-Club",NULL
NULL,"CO Ambérieu",NULL
NULL,"CO CERN",NULL
NULL,"CO Caballeros",NULL
NULL,"CO Calirou",NULL
NULL,"CO Chenau",NULL
NULL,"CO Chenau / Calirou",NULL
NULL,"CO Colmar",NULL
NULL,"CO Engiadina",NULL
NULL,"CO Engiadina/OLG Chur",NULL
NULL,"CO Lausanne-Jorat",NULL
NULL,"CO Lausanne-Jorat / ASCO Lugano",NULL
NULL,"CO UTOE Bellinzona",NULL
NULL,"COBF",NULL
NULL,"COC Clube Orientação do Centro",NULL
NULL,"CS EIS FONTAINEBLEAU",NULL
NULL,"CUS Bologna",NULL
NULL,"Carolina Orienteering Klubb",NULL
NULL,"DARC",NULL
NULL,"DARC Pfullendorf",NULL
NULL,"DJK Adler 07 Bottrop",NULL
NULL,"DTV Busswil",NULL
NULL,"EBC Winterthur",NULL
NULL,"ELKS",NULL
NULL,"EMOL",NULL
NULL,"ETH Zürich",NULL
NULL,"EU-RO Frastanz",NULL
NULL,"EUOC",NULL
NULL,"Elch OK",NULL
NULL,"Equipe de France junior",NULL
NULL,"Erebus Vicenza",NULL
NULL,"Espoon Suunta",NULL
NULL,"FC Schüpfen",NULL
NULL,"Fiamme Gialle",NULL
NULL,"Finland",NULL
NULL,"Forsa OK /Schweden",NULL
NULL,"Friends of Nature Austria",NULL
NULL,"GAOC Georgia Orienteering Club",NULL
NULL,"GCO Gruyère",NULL
NULL,"GOLD Savosa",NULL
NULL,"GOV",NULL
NULL,"GSC Aarau",NULL
NULL,"GSC Bern",NULL
NULL,"GSV Luzern",NULL
NULL,"Gielehuette",NULL
NULL,"Glarner OLG",NULL
NULL,"Goldau/Zimmerberg",NULL
NULL,"Gular IL",NULL
NULL,"Gundelfinger TS",NULL
NULL,"Göteborg Majorna OK",NULL
NULL,"HSE Budapest",NULL
NULL,"Hansa Simmerath",NULL
NULL,"Happy Herts",NULL
NULL,"Hautes Vosges Orientation",NULL
NULL,"Hawkes Bay Orienteering Club",NULL
NULL,"Helsingin Suunnistajat",NULL
NULL,"Hjobygdens OK",NULL
NULL,"Hombres de Maiz",NULL
NULL,"Hyvinkään Rasti",NULL
NULL,"IF Rigor",NULL
NULL,"IF THOR",NULL
NULL,"IFK Göteborg",NULL
NULL,"IG Uitikon",NULL
NULL,"IHW Alex Berlin",NULL
